Renewable Energy Knowledge,Waste Management Expertise,Carbon Footprint Awareness,Water Conservation Skills,Sustainable Agriculture Knowledge,Climate Change Adaptation,Environmental Policy Awareness,Energy Efficiency Skills
74.9816047538945,41.57145928433671,78.89142407694295,47.067268846744305,58.60933540925764,86.53014513275032,57.09527264903091,77.17321957185709
98.02857225639664,71.82052056318902,53.7862984247772,66.25418526272591,86.58935173378484,80.37166192107658,61.70079423934226,59.86564732560737
89.2797576724562,55.717799053816336,57.273292134257616,66.62540486440426,72.68383303567501,71.76204941888045,57.434440339623364,70.11775401498114
83.94633936788146,65.42853455823514,90.43493848371857,70.49719605992826,83.92601131377096,90.92421074886406,53.72550641779634,62.83892836980307
66.24074561769746,85.37832369630465,77.28930768468155,74.04365334890646,66.20173603607141,86.01978455704742,55.06670658622524,60.28149893701964
66.2397808134481,52.464611457443745,50.41386732274833,84.03408317850139,86.34331299736701,66.17944369510587,69.35270825737447,93.63856836603803
62.323344486727976,60.519146151781484,54.56621942897144,65.65201393204781,68.6220587556957,94.61523301076602,58.66601617304329,69.60473841909003
94.6470458309974,77.77755692715243,79.85757960986251,57.91825891764984,55.379317801810444,91.25641523108042,65.29933416401917,87.15548005076685
84.04460046972835,51.43990827458112,50.22777127307984,76.80744779074814,86.68836917467422,96.09239670509311,71.14352537590399,67.1670635714955
88.32290311184181,43.84899549143965,57.23636231378744,55.83329005048297,58.19503368751467,87.57734131875768,78.99658280243334,82.53409800006145
60.823379771832094,54.4875726456884,74.69302052149638,62.558856828225444,66.17597731566453,83.30977744556002,51.651109873326156,85.36820295602871
98.79639408647978,48.06106436270022,81.13528389617119,48.13825525369064,88.25216884677818,75.89323537904352,83.5752367541798,79.4429946618824
93.29770563201687,86.48488261712865,79.33825667761703,46.0140297366183,88.27125014281447,95.44368236745251,76.37181635861813,74.9767427878057
68.49356442713105,80.40601897822086,60.09211892572519,83.505936587117,75.07032608431501,92.91042780101552,53.43387934185262,72.82627290930166
67.27299868828402,71.67018782552117,82.04806496063912,78.43920482048824,77.11430242594298,61.7183094640352,86.69030221248465,70.55925759554783
67.33618039413736,83.57302950938589,60.676208937356,72.83896824374793,70.69559326924119,61.00194503089558,88.67664082233615,91.46304919292173
72.1696897183815,80.18360384495573,64.64298641716705,61.35811777657079,65.26237700943226,74.30560794136588,52.565274313904276,87.90229868035826
80.99025726528951,49.32850294430179,83.59211323031109,51.931772802833834,66.50325908794706,90.80102656970965,61.62886122218256,92.74096878399445
77.27780074568463,84.62794992449889,79.23348045712466,51.25748170684344,78.53814596269635,97.51649291396788,83.86045375130857,62.47470004547961
71.64916560792167,66.96711209578254,88.215053472238,55.00971592658381,81.3331085303188,65.71584186193407,81.42690699611364,84.3112291073312
84.47411578889518,80.37200775820313,79.59258015351546,66.96906658824481,82.7052665304047,82.57696718338113,57.74988281296785,91.78025644555737
65.57975442608168,84.80456499617466,75.57388715009623,73.5838369080025,82.63663499780938,74.47385255197882,58.79267158014183,64.52439038196377
71.68578594140872,55.90017374859319,54.21536455226416,71.40789506870925,58.192213606704165,96.85674711695492,65.55982831723804,60.393865625203986
74.65447373174767,45.50259622638384,66.54721113767451,56.197355877837715,72.30471066459035,92.00051907915693,70.34996537802289,84.68034337444212
78.24279936868143,51.39675812709709,61.93410654567764,83.19461122652777,57.01455660058255,91.85649077902323,75.96670040427243,78.68103207447683
91.40703845572054,61.355389431312815,60.97953395205876,74.51587666783074,74.23351088133074,77.81034007220887,65.49437286193044,88.3058359632978
67.98695128633439,80.90073829612466,93.78547496386005,67.17416210045603,70.4535675480682,75.76314108883128,69.42645807759222,63.031805558546424
