Rainfall (mm),Temperature (°C),Soil pH,Fertilizer Used (kg/ha),Crop Yield (tons/ha)
499.63209507788997,22.47281636933397,6.959996621979941,145.7216852558261,76.0085932568674
960.571445127933,21.658241924628065,5.869023991197423,118.89386803012897,96.26103116908212
785.595153449124,18.5230782500572,6.193279388739772,194.6747787295911,102.91153282607651
678.9267873576293,27.14533340202976,6.826561273715637,82.84676764763573,77.96317178393062
324.81491235394924,24.53248321017258,6.46417868904896,138.1784623998411,71.21378422786877
324.79561626896214,32.31401984648007,6.977142077269788,155.0315022485334,88.7839554961025
246.46688973455957,15.642191609641165,7.42241580244572,173.83467340180724,57.15615738036372
892.9409166199481,27.877358551102525,5.7330933754303945,111.04565456420107,96.82261199013125
680.892009394567,30.258977570231224,6.919135432796121,153.03828614862223,96.09038282174416
766.4580622368364,30.18973138376614,5.960688311264229,95.48022070764242,98.03326798494388
216.46759543664194,32.7214793419105,6.328953454815139,115.32141385427305,79.79166970918428
975.9278817295955,29.58067485658988,5.565725451590279,184.34406968050988,139.8293403461311
865.9541126403374,33.556201232953924,5.771814764585398,192.48614139964315,138.01905014303682
369.87128854262096,21.65313199641783,6.139554578097799,157.8226020390897,72.48070007566697
345.4599737656805,25.064188335030863,6.18397161057597,106.15278361642775,58.629118314404394
346.72360788274705,15.281593265657813,7.299170432924192,173.00866849619962,58.85513492990758
443.39379436763016,15.139151746065824,6.98362581853303,53.88006225881303,35.80648151577951
619.8051453057903,19.8025324090304,7.444365936374082,65.41188658091316,60.20430289279847
545.5560149136926,17.016143942781706,6.698143020670481,149.20606045630416,72.85161872864444
432.98331215843353,20.204227358715073,5.983427464182636,93.68728629050861,54.17871943991065
689.4823157779035,18.540865890567947,6.155310059843286,192.70793276007166,94.19207408631078
311.59508852163344,15.570400496772965,6.139671846583934,115.4090918138457,46.40139411054005
433.71571882817454,33.18608292812099,6.152988655326503,114.40472305837655,89.5844824307071
493.0894746349534,15.16446262777783,6.845928346223632,151.7119265286397,71.87181233975144
564.8559873736287,29.72164288674171,6.561615856180833,165.13528434592843,110.41313841582313
828.1407691144109,18.04295773839033,6.270848356173289,121.33381071877048,81.67757589339148
359.7390257266878,33.244592439992005,5.798179537457433,82.10013525675862,81.03062960662682
611.3875507308893,32.85591879179772,5.544278325884292,165.99629640884325,114.3709229490041
673.931655089634,28.07802292738515,5.937669355175386,98.05269123104414,81.03054698091978
237.16033017599818,28.444682996012105,5.714942807937362,76.26661539407864,71.99434484667462
686.0358815211507,15.106782839393771,7.070890061704478,144.746028488752,60.972282739980585
336.4192989498332,34.69743132227204,5.724995915627771,63.568050048552564,67.48206144013989
252.0412743882236,32.55665207151629,6.948456474613672,195.70290126290823,110.66598514404609
959.1084298026666,32.90212451460184,6.2713173795521655,144.85958966182054,125.94403754347456
972.5056264596475,28.18489074101744,5.646756779487552,197.88432813826338,130.49700281361828
846.7178784931689,21.895738573090732,7.125460098863171,100.83401352179541,84.16379278850923
443.69101533869656,32.87297298180962,6.659261140473227,195.6807741785597,117.20368981198573
278.1376912051071,20.830338563023847,5.971523025727146,71.83433715929354,40.596819479716665
747.3864212097255,26.254230866844058,7.289362348665335,56.10421585205427,67.59800892411612
552.121994991681,16.99461944687765,5.590516627741103,54.94760906819038,54.50826754361956
297.63058787582304,33.439112602655,5.903639216395526,119.73055558988406,84.07619646223628
596.1415280890162,17.815409155424266,7.004093855611722,62.45062962178922,50.563433016846645
227.51081689217472,19.497936114608144,6.918755860619778,126.82518262514026,60.949249490099575
927.4563216630256,26.1626831625643,6.078543387448956,99.12507552633508,86.08056397123002
407.02398528001356,30.28186000425963,5.6240497507055665,100.34434887111735,81.1917335836835
730.0178274831856,27.387026118725977,7.216156144449887,145.34134948177547,100.10474772673189
449.3688608715288,19.642678256003123,6.127395276139805,74.46470092274302,44.49598652198952
616.0544169422486,15.018860850549807,5.89142682985653,164.98300555095966,78.23015311295494
637.3682234746237,30.143011606148782,6.532123644721954,137.3046379667952,105.90770077316661
347.88356442042164,34.704146518221876,7.320454398564895,187.24169432712665,102.85113181905889
975.6677022116469,31.19826240612181,5.587093155686751,104.72609806512851,107.24064138450197
820.1062586888917,24.204132363132306,7.031608176061775,197.40724881006884,119.13187053923228
951.5991532513513,33.07534522798213,6.644946455877418,136.3741470071035,123.64066840892794
915.8618803421191,23.196953462367,6.350898233103634,196.01029342813007,118.89131634723769
678.3199830488682,25.49868168486935,6.98816088821012,54.0590981070673,65.69832837771159
937.4993880184935,24.542595347913664,7.431648848883265,159.1964483618582,111.70226271641785
270.7940016415356,23.9524774533105,5.958412422325382,172.49322864391044,84.87320309529015
356.7862899353162,30.503815385878113,5.7872947301442395,57.975993001473135,70.5313302495855
236.18183112843045,25.535378145389842,7.325763490445394,136.84544960243687,63.84183330166988
460.26426461061146,21.334342440504322,6.837906154914608,170.29134403841726,72.99299550445764
510.9418317515856,20.163163353169566,6.375972043123932,134.1558087834609,77.3498692143793
417.0792254191167,15.754946339348667,6.646519140528566,59.57203856082,42.507509423587244
862.9900073215434,26.663903237660918,6.991227810352488,154.0170861347467,106.60348379169817
485.40266135487144,19.599228308020685,7.046063797411435,59.0895372009963,50.403914775994224
424.7476077499046,17.96267844032766,7.339788361637929,172.62033425246577,70.57383176981605
634.1568665265988,28.07659927655355,6.3536855777912455,56.45512749600416,72.57565643268971
312.7393799798101,28.624185156430975,6.08682182003879,70.60960715155562,72.39625629906156
841.7575846032317,30.04309784515332,6.779328533579684,91.26613857849028,94.19967355758475
259.64051494381664,25.071537926771832,6.331455798559061,145.00471883912002,73.21639129690823
989.5095492804138,32.88109210407773,6.689196907897956,196.45386494469588,131.37793900005857
817.7958154373259,33.72685506796456,6.339971596911901,67.67342789299016,100.39603709103793
358.97254522733795,31.147418795849788,5.805991573356349,71.40615038208776,69.08614527363952
204.41769369888192,27.711869640163744,6.438853503317917,105.33055950514705,65.78564935528959
852.3691427638673,21.074419071823772,6.881835643882066,175.43287066329805,101.41278282425641
765.4858750780937,34.65889843240443,7.0985676153353,120.08464291262213,105.89568183836398
783.2057344327899,20.482723343838767,6.4866525535930935,98.24159003837325,76.57630020355533
817.0162773487566,19.05313843980862,5.830475780420802,134.18057483132918,89.85462259655279
259.2357213872723,23.843082275731653,6.329375419298863,89.0784796168625,61.60501270756748
486.77258283541806,16.13681141424777,7.072587857683397,110.17398608712814,61.9025677914508
292.69524762010377,34.569889293435814,6.325718541234146,99.89077238480628,85.36675548935592
890.4827407004748,26.768671128328496,6.893061587208445,170.62115336219688,121.14029693165186
698.6385014620464,26.139041833283507,6.514427363356179,188.63835896570012,115.50011696633206
464.71841988211935,28.115925597994398,5.982446250218794,163.93582882353678,101.20936009574092
250.8466802288189,24.94047295554413,7.092301016046148,115.86253640449752,68.99625044011493
448.7858573725298,15.64127034189083,5.668426908141374,125.65024662449957,56.532399844424546
460.14665762139765,27.246225776807936,6.549780565510301,68.76105408941535,61.95688682771267
783.6849426704513,29.32347753912861,5.91778206848681,162.02970667018067,112.74669623611946
710.0459770841705,23.33498121248106,5.6341312570827515,139.4713519092566,94.33607098333658
909.7701940610613,30.14591144142386,6.505867874166498,185.36599942061545,132.29029483167443
577.7719401295594,19.540025986768413,6.499124311869847,80.09167153627298,53.9250116206137
295.67539675064137,19.42553182132368,6.913801803351442,163.9589182898918,70.7674959344453
770.595829778396,18.228339753751477,6.98950138610381,152.70074925787844,82.91388425124605
808.6280388935179,22.439895195783237,6.955582977385793,89.87683007146282,75.76100620481753
649.021758055597,31.94024070778167,6.31911746583351,150.10679593112377,110.77009908568203
816.7737439636488,31.558241242981286,6.7633795744531255,188.65600708649743,135.1413146331361
595.0364770915126,22.656484159270075,6.653890485287921,187.76539815006782,94.56322393042588
618.1862635055952,26.782374719604732,6.34312351223384,157.9439861774212,99.74117393907922
542.0328146868396,29.41632632949831,6.694425388371986,57.21096688010901,64.23433038752611
220.33530139527616,19.82413549256046,7.394495753412525,180.83965059802424,64.33471388550576
286.3131415946435,18.362821717894942,5.885787487362755,148.66679105068098,60.77569321929022
225.1433485493874,34.441919864246216,7.311544191571053,96.56513797741016,73.77675303116244
